"receiver","balance"
0xf793859eC763477EE2f282186eBB2Fb2E6A71BbA,90013.8527951542
0x423bF3038EAEE9cB3880DDdc44b8AaA543Aa5B4A,60199.60119262495
0x05745Ca3Ac6FFCB336Fcf57e270E67a5eCf06175,29413.972851662533
0x1F88d0F55931fdc1DD95a714BDF7208ef9B4AB4f,23125.621032343926
0x84197fa35061a353FDfab8eE125beE39668c056B,18300.813755387564
0xaB545C8EB7aEbeb4f73B68503245E7050b7B8c19,11761.374362028508
0x1858C0c5C0a5E18232b22CED0095b7E3dD8A7eDC,9098.806324146559
0x9Bd26Aef3805e8B88581CF090a3905c9029b2780,8377.055687211343
0xB389efe19DA39DeD65657736E4ed298017d9238C,7279.031770267083
0x1E11D959310C69628D487620A17D7F8841257BC9,5693.890614926108
0x7701eA24fF3F7f2d27a490Fd56be79f934A513Dc,4584.022162774012
0xE1CbA71F8C268E866c1070C233113A0bDF2B2869,4094.462845865952
0xC7943625De1318f75F4a3E1C2c1EB3de39790A4c,3727.33928
0x9Ca627DE8E06213671B6166717C8Cf876C1D7808,3562.058522972558
0xbA4203B7Eb3528f9Ce4A2D838c2cD5cBDd5fbE65,2716.6638365451618
0x2319ad98c36dfBcd5e99a99685B317A71e14FCB6,2636.414338552288
0xF70fEAa153A0Ffc391525c1226d6E0f00eDF9974,2526.0251137473942
0x91d8e910cD54a978F5929BB63b0A1cEE5aEAC09b,2056.808788643952
0xD1ecDFc524ddbb8d32Ad62F4a2f5554cb92afEC5,1726.427418163042
0xf7AeF5FC0F5d6b030c417d6a44fCc23497Cd3E0a,1701.388622103058
0xD563834c354a736c92708E4c727eB0Da81ABfDC8,1633.198227403386
0x613174b2CA69A9644cf0E2E9dd0B628b760F1418,1532.1976581880078
0xe02C859De76A8Ab1124742c416B8186978E09bb4,1388.178131139058
0xf6beA11f086242ec1b61968a8557b18aeECF0086,1209.549821908106
0x853eadd8cc45896D29826911026e47B919F7368d,1205.7517916483341
0xAD8da72fB6c0Bc3b27A67dBe0Daf8AD1476c8D20,1126.198457497848
0xDa399382F2bCAF1199D72D0E76592eb3147aC8f6,1125.252450646338
0x522f7bb9291aBbdF7743DF72C67bed55d7EB4D33,999.371988539218
0x9C63A655614a019cDd06c0491d5D8D0cD0E6B387,909.880632414656
0x9778cB519Bd44A42146D6A1B5Cd9c12Bb22f9ee6,909.880632414656
0x3F1Ef3964aaa78F182aB6387859AD6FEE3Cb5144,909.880632414656
0x8E69F1E96658D5820FCd56584F169b6a274C3330,909.869109327178
0xA8735830C77d9cf4Bd9A3acC75DB41Ee045bFD14,909.723627294426
0x0dd2706553B48e41327624685f0D8a5eb95B48BB,906.217385276392
0x00BdE02A876D67C22E46F4De7AbB73178061D577,860.109949591942
0x40F61a408D6F05e74c454DF0542754ED2232F48C,845.576016055204
0xfB484E136c85b961473d385093b1aB071D407aeC,749.680824162872
0xC0496FE72226E6463A30Cf0E0f0B5BE525262B4E,616.885818382736
0xB4253Bcd1c36FB632484A9568E60733A4caA2294,599.882635659748
0xF365EaE95B8F43FCb76C57152Ca5419a2B4AaF0b,596.970167835958
0x182393120C0Ba4E60f8E86f45460bF9fB4E00ee3,592.123603563044
0xf2acBAbD7283918295C2aBcf23287beF1b94C5AE,543.126051424768
0x3Fdb50F723Ceb370470D314Ed05C22D7359BE529,449.476271138594
0xf4bEC3e032590347Fc36AD40152C7155f8361d39,442.19436561055
0x28aEF7e702afeDA80F05Cb8457d49cCebe7F66f2,384.59498563435596
0x29920a39e695B45F693139382e90Ead7ad9CAe18,273.889221969272
0x549F317C3dC64886c947e345181F70a7CF65F4B6,244.766575674096
0x835534ec13Cd0cdCb17F36E365e4eD36827650D2,242.903678642772
0xFBD4C3D8bE6B15b7cf428Db2838bb44C0054fCd2,224.185613159718
0x3240B24D39C54c22b25215C1EA5FdEEEa7E4e357,199.46725880984
0x531d5E1869c6aE245Dc3D62bF3B14B6d1A53F5F8,184.14153437022
0x9C40f24F7B25dBf221343D6600286cD78a733B88,181.973468672898
0x492265FF01A025a1031ba8E7fF62dcCC73c4aD05,178.200094943402
0x486C58f5A677FDc1Ac07DB4d055cFcd2FC53D1F6,158.929409796164
0x011ADd34411141ed00EF0eD4e3574FbCC5cF4645,153.73142166242002
0x5F03d4d8736A91494f875d89aaC7EcBAEDAc9d55,129.519934791758
0x47478d364C67D9fDf65F485B451c1FD81643065E,121.68113401568598
