"receiver","balance"
0x6b477e1EBbfbcd09b3FD3A48F32F0ce9c991581B,10000
0x5Fe1d48622140c84FD89f8b01093de086C9798F5,18000
0x5EF7F250f74d4F11A68054AE4e150705474a6D4a,971420000
0x5a69428DfE7aF2E64bc40e065E139CAf8FDb09B6,8100
0x555eEe16ef32EE87c46a50c0227a3BFA89e45EF9,251700
0x3D8a8980aC68554Da0AF80972ab992628B500808,36970000
0x3B0702b7664649321FB22174B48F1220f723810D,445500
0x30713a9895E150D73fB7676D054814d30266F8F1,14800
0x290226b6B5C6daAe68a57e626481E7caF900F754,146900
0x28170471dEC2A738301A2D792072817EE23b45C5,503500
0x263a8a1297582c307A008DE90372fbC98bEC1BA8,1888500000
0x10B850C3abFca78d693C9cD6FcE809c129109d1c,3500
0x0141FE1110c12563DBe4E6161A1bC29Af98EA1a7,19900
0xFB3375d76Cd1C487eE721A92342F9f59EF41e028,2705500
0xE6f238F3f50a4eF83e4b0cde9478BFE49c5717A9,1577000000
0xe6c476609E34740249ba442B8215279C5541cE66,36295000
0xd67451Bd22CfCA3502748f19Ffe238EAfaC5aB70,567540000
0xD5983D35174E13521B6fAAD85BEC792BF3CD12a4,59489000
0xCa29302DFd9041bB151151fF20d41c0534d00CAA,71161000
0xbc02939D916724e232ebC54B3d49ADc83fFfcad0,100570000
0x9c75f87080c1D615cee2771e9489203699b3C1d3,601340000
0x8FB7b34Db316353f4CC8855C9D3BDFb859562f91,301710000
0x895E535f386CC8e9F2D36e590128c55EdeF28E99,79724000
0x85Cf1ceb982Eb9de0c8a76B76A9b132D22538CDA,100510000
0x817D03c548fFabd3CF19a465C1C7e0B2834939a3,64104000
0x7611AE67894523755f688b27ed36e2DdF3026269,22901000
0x6676773eCc9b6876E72d080C47eC1Ce03959fC87,106310000
0x603888f610AfeCCf1572151516F8C8d880105543,18769000
0x44b473824a4ddd9beea55Ce934142c354a7b84c9,35799000
0x42A22772deC0cAe3B30658fB880f9Cd07397c637,0
0x3DA8CDdd524eaf5C908f2366B3c412C0da1fEbD6,350190000
0x3aCaf50E05e68CC2eFdDD73315c6c09A1034BB2A,295490000
0x2b6BcDB2C67B905D094ec34dfb1DEb54569E2767,90515000
0x291E4eBB46C04d87c2fB10582b20E9258A1a83f8,82723000
0x21A02F0fB67BccEaAEbec80304bEc0A92D2797e1,25143000
0x151F1c8b447eE78EEAcEdda368913B6601E415E1,5628900
0x0f2Ede90F84d2f820c967C30842f8295E5f559B1,91972000
0x0EB83fD4801AF7207c454c84a139C8bc91c54436,50286000
0x0A48c3a67c7Dda56aD486f3CD03304AE04B50db8,829400
